Algeria,Nigeria,2,Il-28-bomber aircraft,1967-01-01,Second-hand
Algeria,Western Sahara,3,BTR-60PB-APC,2016-01-01,Second-hand  aid
Angola,Cote d'Ivoire,2,BMP-2-IFV,2002-01-01,Second-hand  for use against fight rebels
Angola,Guinea-Bissau,1,Do-27-light transport aircraft,1980-01-01,Second-hand  status uncertain
Argentina,Colombia,3,IA-58A Pucara-ground attack aircraft,1989-01-01,Second-hand  aid  for anti-narcotics operations
Argentina,Denmark,1,Lynx-ASW helicopter,1987-01-01,Second-hand  $3.5 m deal
Argentina,Ecuador,18,M-101A1 105mm-towed gun,1995-01-01,Second-hand but modernized before delivery  part of illegal $34 m deal
Argentina,Honduras,60,MO-120-M65 120mm-mortar,1980-01-01,
Argentina,Paraguay,3,CV-440-transport aircraft,1962-01-01,Second-hand  $0.7 m deal  CV-440 version
Argentina,Sri Lanka,4,IA-58A Pucara-ground attack aircraft,1992-01-01,$11 m deal  produced 1980s on speculation for export and sold to Sri Lanka 1992
Argentina,Uruguay,2,T-6 Texan-trainer aircraft,1969-01-01,Second-hand
Australia,India,11,Thornycroft 26m-patrol craft,2004-01-01,For coast guard
Australia,Jordan,6,SB7L-360 Seeker-light aircraft,2006-01-01,Assembled from kits
Australia,Malaysia,3,Eagle-ARV-light aircraft/UAV,2000-01-01,For 1 Eagle-ARV UAV system
Australia,New Zealand,2,Tenix-1600-OPV,2004-01-01,Part of NZD500 m $317 m 'Project Protector'  partly produced in New Zealand and assembled in Australia  New Zealand designation Otago
Australia,United Kingdom,600,Ikara-ASW missile,1970-01-01,
Australia,United States,1,EPF-transport ship,2008-01-01,$185 m deal part 'JHSV' Joint High Speed Vessel programme  produced under licence in USA
Australia,Brazil,50,Ikara-ASW missile,1972-01-01,For 4 Niteroi frigates  Ikara-3 version
Australia,Brunei,2,Teraban-landing craft,1995-01-01,
Australia,Cambodia,6,DC-3/C-47 Skytrain-transport aircraft,1971-01-01,Second-hand  aid
Australia,Canada,18,F/A-18C Hornet-FGA aircraft,2018-01-01,Second-hand 7 more delivered for spare parts
Australia,Chad,1,C-130B Hercules-transport aircraft,1983-01-01,Second-hand C-130A version financed by France
Australia,Chile,2,Perry-frigate,2019-01-01,Second-hand  Chilean designation Latorre
Australia,Fiji,3,ASI-315-patrol craft,1992-01-01,'Pacific Patrol Boat'/'Defence Cooperation' aid programme  Fijian designation Kula
Australia,Ghana,2,SB7L-360 Seeker-light aircraft,2004-01-01,From Jordanian production line
Australia,India,10,Canberra B-2-bomber aircraft,1970-01-01,Second-hand  Canberra B-20 version
Australia,Indonesia,2,Cessna-310-light transport aircraft,1967-01-01,Second-hand
Australia,Iraq,2,SB7L-360 Seeker-light aircraft,2004-01-01,AUD2.8 m $2 m deal  ordered via and assembled in Jordan
Australia,Jamaica,12,Bushmaster-APC,2013-01-01,
Australia,Japan,4,Bushmaster-APC,2014-01-01,AUD3.6 m $2.7 m deal
